Begin IJ Block
1   1   -33.0266932668
1   2   0.5842410670
1   4   -0.1851461228
2   2   -7.8731362689
2   4   0.2199969922
3   3   -6.7589612665
4   4   -6.9078247028
5   5   -7.0424539679

End IJ Block
Begin IA Block
1   1   0.1143980368
1   2   -0.0000000000
1   3   0.1006528677
1   4   -0.0000000000
1   6   0.1101644573
1   7   -0.0000000000
1   8   -0.0554376643
1   11   0.2191264541
1   12   0.0000000000
1   13   -0.0264325267
1   14   -0.0000000000
2   1   -0.6152124238
2   2   0.0000000000
2   3   -0.2749773861
2   4   0.0000000000
2   6   -0.6015407749
2   7   0.0000000000
2   8   0.2925273597
2   11   -0.7566492920
2   12   -0.0000000000
2   13   0.1702478912
2   14   0.0000000000
3   1   0.0000000000
3   2   0.6901618020
3   3   0.0000000000
3   4   0.2009122968
3   6   0.0000000000
3   7   1.1944728163
3   8   -0.0000000000
3   11   0.0000000000
3   12   -0.2119461806
3   13   -0.0000000000
3   14   -0.2776232279
4   1   -0.3418016332
4   2   -0.0000000000
4   3   0.7123895805
4   4   -0.0000000000
4   5   -0.0000000000
4   6   -0.8709542680
4   7   -0.0000000000
4   8   0.2715168135
4   11   0.4486115779
4   12   0.0000000000
4   13   0.3130343263
4   14   -0.0000000000
5   5   1.2510605337
5   6   -0.0000000000
5   9   0.0000000000
5   10   0.2562715272

End IA Block
Begin AB Block
1   1   -2.5303159927
1   2   0.0000000000
1   3   -0.1273494473
1   4   0.0000000000
1   6   -0.7827634523
1   7   0.0000000000
1   8   0.3543997403
1   11   -0.5564225080
1   12   -0.0000000000
1   13   0.2252897995
1   14   -0.0000000000
2   2   -2.1299869557
2   3   -0.0000000000
2   4   -0.2265287485
2   6   -0.0000000000
2   7   -0.9177866048
2   8   0.0000000000
2   11   -0.0000000000
2   12   0.1264431450
2   13   0.0000000000
2   14   0.1648022608
3   3   -2.5350527175
3   4   -0.0000000000
3   6   0.0550837336
3   7   -0.0000000000
3   8   -0.1788014987
3   11   -0.3858508262
3   12   -0.0000000000
3   13   -0.2692926302
3   14   0.0000000000
4   4   -2.6591427535
4   6   -0.0000000000
4   7   -0.4879801560
4   8   0.0000000000
4   11   0.0000000000
4   12   -0.1778496728
4   13   -0.0000000000
4   14   -0.3680447771
5   5   -3.0139280492
5   10   -0.2776935076
6   6   -3.2451202752
