Begin IJ Block
1   1   -33.0206911246
1   2   0.5830415497
1   3   0.0000000000
1   4   0.1839703430
2   2   -7.8720440938
2   3   0.0000000001
2   4   -0.2146547364
3   3   -6.7656551873
3   4   -0.0000000000
4   4   -6.9061953081
5   5   -7.0345880685

End IJ Block
Begin IA Block
1   1   -0.0954251979
1   2   -0.0000000000
1   3   0.0951532436
1   5   -0.0000000000
1   6   -0.1044423254
1   7   0.0000000000
1   8   -0.0369300940
1   10   -0.1565741841
1   12   -0.0000000000
1   13   -0.0173837341
1   14   -0.0000000001
2   1   0.5111425238
2   2   -0.0000000001
2   3   -0.2805433129
2   5   0.0000000000
2   6   0.5829733807
2   7   -0.0000000001
2   8   0.1937726065
2   9   0.0000000000
2   10   0.5823194813
2   11   0.0000000000
2   12   0.0000000003
2   13   0.0438070572
2   14   0.0000000003
3   1   -0.0000000000
3   2   -0.5516958344
3   3   -0.0000000001
3   5   0.2304319038
3   6   0.0000000001
3   7   1.0738413199
3   8   0.0000000001
3   10   -0.0000000002
3   12   0.0209325010
3   13   -0.0000000002
3   14   0.1591869299
4   1   -0.2922134827
4   2   -0.0000000002
4   3   -0.5997652247
4   4   0.0000000000
4   5   -0.0000000000
4   6   -0.7718653519
4   7   -0.0000000002
4   8   -0.1198489460
4   9   0.0000000000
4   10   0.2575546822
4   11   0.0000000000
4   12   0.0000000005
4   13   -0.0401920320
4   14   0.0000000003
5   4   1.0044843581
5   6   0.0000000000
5   9   0.0000000000
5   10   0.0000000000
5   11   -0.2148508047
5   12   -0.0000000000
5   13   -0.0000000000

End IA Block
Begin AB Block
1   1   -2.2880981117
1   2   0.0000000019
1   3   0.1672183188
1   4   0.0000000000
1   5   0.0000000009
1   6   -0.7473272049
1   7   0.0000000019
1   8   -0.2370007985
1   9   -0.0000000000
1   10   -0.4732694121
1   11   -0.0000000000
1   12   -0.0000000080
1   13   0.0228636396
1   14   -0.0000000040
2   2   -1.9016906100
2   3   -0.0000000080
2   5   0.1885082907
2   6   0.0000000028
2   7   0.7904346520
2   8   -0.0000000013
2   10   -0.0000000282
2   12   -0.0126497240
2   13   -0.0000000198
2   14   0.0658395225
3   3   -2.3260160356
3   5   -0.0000000053
3   6   -0.0622515515
3   7   -0.0000000067
3   8   -0.1347893745
3   9   0.0000000000
3   10   0.2870243098
3   12   0.0000000202
3   13   0.1852521771
3   14   0.0000000178
4   4   -2.5898026496
4   9   -0.0000000002
4   10   -0.0000000000
4   11   0.2306151941
