Begin IJ Block
1   1   -33.0269414599
1   2   -0.5840017567
1   4   0.1857520075
2   2   -7.8693866269
2   4   0.2251300607
3   3   -6.7446545989
4   4   -6.9064714748
5   5   -7.0542916601

End IJ Block
Begin IA Block
1   1   0.1375870727
1   3   0.0000000000
1   4   0.0877165119
1   5   -0.1116366025
1   7   -0.0862686566
1   8   0.0000000000
1   11   0.2726130095
1   12   0.0000000000
1   13   -0.1160325327
1   14   0.0000000000
2   1   0.7411968011
2   2   0.0000000000
2   3   0.0000000000
2   4   0.1686321047
2   5   -0.5922694826
2   7   -0.3939944035
2   8   0.0000000000
2   11   0.9069582320
2   12   0.0000000000
2   13   -0.4725919853
2   14   0.0000000000
3   1   -0.0000000000
3   2   0.8754963346
3   3   0.3625964507
3   4   -0.0000000000
3   5   -0.0000000000
3   7   0.0000000000
3   8   1.2458834808
3   11   -0.0000000000
3   12   0.1234913204
3   13   -0.0000000000
3   14   -0.6332417169
4   1   0.3934349802
4   2   -0.0000000000
4   3   -0.0000000001
4   4   -0.9455683992
4   5   -0.8774595501
4   7   -0.2292059224
4   8   -0.0000000000
4   11   -0.6567217388
4   12   -0.0000000000
4   13   -0.6183425889
4   14   0.0000000000
5   6   -1.6087684324
5   9   0.0000000000
5   10   0.1851975894

End IA Block
Begin AB Block
1   1   -2.7903617773
1   2   -0.0000000000
1   3   0.0000000000
1   4   0.0343887963
1   5   0.8138943433
1   7   0.4356384171
1   8   -0.0000000000
1   11   -0.6117549539
1   12   -0.0000000000
1   13   0.5148013606
1   14   -0.0000000000
2   2   -2.4287396388
2   3   -0.4645024449
2   4   0.0000000001
2   5   0.0000000000
2   7   -0.0000000000
2   8   -0.9976183007
2   11   0.0000000000
2   12   -0.0790540962
2   13   0.0000000000
2   14   0.4488096650
3   3   -3.1828632573
3   4   0.0000000000
3   5   -0.0000000000
3   7   -0.0000000000
3   8   -0.4838457014
3   11   -0.0000000000
3   12   0.0863903265
3   13   -0.0000000000
3   14   0.8411216706
4   4   -2.9755993085
4   5   -0.0762108446
4   7   -0.1965758356
4   8   0.0000000000
4   11   -0.3915684408
4   12   -0.0000000000
4   13   -0.2681062276
4   14   -0.0000000001
5   5   -3.4483915373
5   7   -0.2042531120
5   8   0.0000000000
5   11   -0.0647946981
5   12   0.0000000000
5   13   -1.0397484613
5   14   0.0000000000
6   6   -3.7587138686
6   9   0.0000000000
6   10   0.2714827049
7   7   -2.9767730763
7   8   -0.0000000000
7   11   0.0288866526
7   12   -0.0000000000
7   13   -0.4636004839
7   14   0.0000000000
8   8   -3.2700310991
8   11   0.0000000000
8   12   -0.1242371769
8   13   0.0000000000
8   14   1.1027567178
9   9   -2.8967251684
10   10   -2.8239230954
11   11   -3.4747920052
11   12   -0.0000000000
11   13   0.0485535421
11   14   -0.0000000000
12   12   -2.3138184923
12   13   0.0000000000
12   14   0.1101247661
13   13   -2.9774089576
13   14   0.0000000000
14   14   -3.0253229685

End AB Block
Begin IJAB Block
1   6   1   15   0.0061562163
1   6   1   18   0.0006610943
1   6   1   19   -0.0070508302
1   6   1   21   -0.0043229417
1   6   1   25   0.0081906630
1   6   1   27   -0.0074319410
1   6   1   28   0.0000000000
1   6   2   16   0.0032094516
1   6   2   17   0.0024104181
1   6   2   18   -0.0000000000
1   6   2   22   0.0062651241
1   6   2   26   0.0007028430
1   6   2   27   -0.0000000000
1   6   2   28   -0.0054157563
1   6   3   16   0.0024104181
1   6   3   17   0.0018252208
1   6   3   18   0.0000000000
1   6   3   19   0.0000000000
1   6   3   21   0.0000000000
1   6   3   22   0.0047041246
1   6   3   25   0.0000000000
1   6   3   26   0.0005251313
1   6   3   28   -0.0040720164
1   6   4   15   0.0006610943
1   6   4   16   -0.0000000000
1   6   4   17   0.0000000000
1   6   4   18   0.0052876721
1   6   4   19   0.0024632423
1   6   4   21   0.0001739888
1   6   4   22   -0.0000000000
1   6   4   25   0.0077599252
1   6   4   27   0.0026372113
1   6   4   28   0.0000000000
1   6   5   15   -0.0070508302
1   6   5   17   0.0000000000
1   6   5   18   0.0024632423
1   6   5   19   0.0100930098
1   6   5   21   0.0053417999
1   6   5   25   -0.0051146183
1   6   5   27   0.0106478652
1   6   5   28   -0.0000000000
1   6   6   20   0.0145474231
1   6   6   24   -0.0023906225
1   6   7   15   -0.0043229417
1   6   7   17   0.0000000000
1   6   7   18   0.0001739888
1   6   7   19   0.0053417999
1   6   7   21   0.0031323104
1   6   7   25   -0.0049112969
1   6   7   27   0.0056417999
1   6   7   28   -0.0000000000
1   6   8   16   0.0062651241
1   6   8   17   0.0047041246
1   6   8   18   -0.0000000000
1   6   8   22   0.0122303536
1   6   8   25   0.0000000000
1   6   8   26   0.0013729407
1   6   8   27   -0.0000000000
1   6   8   28   -0.0105651397
1   6   9   23   0.0000176448
1   6   10   20   -0.0023906225
1   6   10   24   0.0004080584
1   6   11   15   0.0081906630
1   6   11   17   0.0000000000
1   6   11   18   0.0077599252
1   6   11   19   -0.0051146183
1   6   11   21   -0.0049112969
1   6   11   22   0.0000000000
1   6   11   25   0.0200108932
1   6   11   27   -0.0053364748
1   6   11   28   0.0000000000
1   6   12   16   0.0007028430
1   6   12   17   0.0005251313
1   6   12   22   0.0013729407
1   6   12   26   0.0001636298
1   6   12   27   -0.0000000000
1   6   12   28   -0.0011856222
1   6   13   15   -0.0074319410
1   6   13   16   -0.0000000000
1   6   13   18   0.0026372113
1   6   13   19   0.0106478652
1   6   13   21   0.0056417999
1   6   13   22   -0.0000000000
1   6   13   25   -0.0053364748
1   6   13   26   -0.0000000000
1   6   13   27   0.0112505891
1   6   14   15   0.0000000000
1   6   14   16   -0.0054157563
1   6   14   17   -0.0040720164
1   6   14   18   0.0000000000
1   6   14   19   -0.0000000000
1   6   14   21   -0.0000000000
1   6   14   22   -0.0105651397
1   6   14   25   0.0000000000
1   6   14   26   -0.0011856222
1   6   14   28   0.0091474460
1   7   1   15   -0.0004259575
1   7   1   17   0.0000000000
1   7   1   18   0.0019783026
1   7   1   19   0.0016114222
1   7   1   21   0.0002124636
1   7   1   25   0.0021658448
1   7   1   27   0.0011337709
1   7   2   16   -0.0026696527
1   7   2   17   -0.0016619586
1   7   2   18   0.0000000000
1   7   2   22   -0.0045044198
1   7   2   26   -0.0004123011
1   7   2   27   0.0000000000
1   7   2   28   0.0029891907
1   7   3   15   0.0000000000
1   7   3   16   -0.0019737650
1   7   3   17   -0.0014105409
1   7   3   19   -0.0000000000
1   7   3   21   -0.0000000000
1   7   3   22   -0.0033449398
1   7   3   26   -0.0002799321
1   7   3   27   -0.0000000000
1   7   3   28   0.0024055144
1   7   4   15   0.0026506388
1   7   4   16   0.0000000000
1   7   4   18   -0.0020803394
1   7   4   19   -0.0042429805
1   7   4   21   -0.0017315271
1   7   4   22   0.0000000000
1   7   4   25   0.0006476913
1   7   4   27   -0.0037352200
1   7   4   28   -0.0000000000
1   7   5   15   0.0021841018
1   7   5   17   -0.0000000000
1   7   5   18   -0.0035985391
1   7   5   19   -0.0047643225
1   7   5   21   -0.0012952912
1   7   5   25   -0.0022828903
1   7   5   27   -0.0038193319
1   7   5   28   0.0000000000
1   7   6   20   -0.0093603010
1   7   6   24   0.0010094440
1   7   7   15   0.0005820066
1   7   7   17   -0.0000000000
1   7   7   18   -0.0016240058
1   7   7   19   -0.0015492006
1   7   7   21   -0.0004775509
1   7   7   22   -0.0000000000
1   7   7   25   -0.0014904924
1   7   7   27   -0.0012186319
1   7   7   28   0.0000000000
1   7   8   16   -0.0051056831
1   7   8   17   -0.0031941797
1   7   8   18   0.0000000000
1   7   8   21   -0.0000000000
1   7   8   22   -0.0086369757
1   7   8   25   0.0000000000
1   7   8   26   -0.0007933369
1   7   8   27   0.0000000000
1   7   8   28   0.0057510405
1   7   9   23   -0.0001627885
1   7   10   20   0.0014732089
1   7   10   24   -0.0003099928
1   7   11   15   0.0028963534
1   7   11   18   -0.0002204253
1   7   11   19   -0.0036771979
1   7   11   21   -0.0019824265
1   7   11   22   0.0000000000
1   7   11   25   0.0032338138
1   7   11   27   -0.0035850837
1   7   12   16   -0.0005403451
1   7   12   17   -0.0003149349
1   7   12   22   -0.0009166092
1   7   12   26   -0.0001180805
1   7   12   28   0.0005921827
1   7   13   15   0.0021765353
1   7   13   16   0.0000000000
1   7   13   17   -0.0000000000
1   7   13   18   -0.0036568457
1   7   13   19   -0.0047632191
1   7   13   21   -0.0013526041
1   7   13   22   0.0000000000
1   7   13   25   -0.0023755057
