Begin IJ Block
1   1   -33.0266932668
1   2   0.5842410670
1   4   -0.1851461228
2   2   -7.8731362689
2   4   0.2199969922
3   3   -6.7558650261
4   4   -6.9078247028
5   5   -7.0424539679

End IJ Block
Begin IA Block
1   1   0.1144421839
1   3   0.1006078449
1   4   0.0000000000
1   6   0.1101766384
1   7   0.0000000000
1   8   0.0554996292
1   11   0.2191787553
1   12   -0.0000000000
1   13   0.0264713041
1   14   0.0000000000
1   15   0.0000000000
2   1   -0.6163356320
2   2   0.0000000000
2   3   -0.2773926733
2   4   -0.0000000000
2   6   -0.6030006265
2   7   -0.0000000000
2   8   -0.2936063235
2   11   -0.7590671705
2   12   0.0000000000
2   13   -0.1701099913
2   14   -0.0000000000
2   15   -0.0000000000
3   1   0.0000000000
3   2   0.6919222231
3   3   -0.0000000000
3   4   0.2036785400
3   6   0.0000000000
3   7   -1.1976714067
3   8   -0.0000000000
3   11   0.0000000000
3   12   0.2114868708
3   13   -0.0000000001
3   14   0.2765421989
3   15   0.4180075573
4   1   -0.3441495890
4   2   0.0000000000
4   3   0.7150064708
4   4   0.0000000001
4   6   -0.8748444890
4   7   0.0000000000
4   8   -0.2782496762
4   11   0.4504802417
4   12   0.0000000000
4   13   -0.3139025171
4   14   -0.0000000001
4   15   -0.0000000000
5   5   1.2558047842
5   9   0.0000000000
5   10   0.2613610691

End IA Block
Begin AB Block
1   1   -2.5302779796
1   2   0.0000000000
1   3   -0.1273630826
1   4   -0.0000000000
1   6   -0.7826786385
1   8   -0.3543016303
1   11   -0.5564366703
1   12   0.0000000000
1   13   -0.2252847079
1   14   -0.0000000001
1   15   -0.0000000000
2   2   -2.1298618218
2   3   0.0000000000
2   4   -0.2263169203
2   6   -0.0000000000
2   7   0.9174951722
2   8   0.0000000000
2   11   -0.0000000000
2   12   -0.1264537945
2   13   0.0000000001
2   14   -0.1648746464
2   15   -0.2362380846
3   3   -2.5348755895
3   4   -0.0000000000
3   6   0.0550790756
3   7   -0.0000000000
3   8   0.1786297193
3   11   -0.3857135393
3   12   -0.0000000000
3   13   0.2692278843
3   14   0.0000000001
3   15   0.0000000000
4   4   -2.6586332966
4   6   0.0000000000
4   7   0.4874042403
4   8   0.0000000000
4   11   -0.0000000000
4   12   0.1777916384
4   13   -0.0000000001
4   14   0.3678237603
4   15   -0.7932520671
