Begin IJ Block
1   1   -33.0213865281
1   2   0.5830931363
1   3   0.0000000000
1   4   -0.1840717070
2   2   -7.8723688160
2   3   0.0000000001
2   4   0.2146915275
3   3   -6.7636638956
3   4   0.0000000000
4   4   -6.9074010782
5   5   -7.0349127513

End IJ Block
Begin IA Block
1   1   0.0954812714
1   2   0.0000000000
1   3   0.0951587451
1   5   0.0000000000
1   6   0.1045108592
1   7   0.0000000000
1   8   0.0369809327
1   10   -0.1566368127
1   12   0.0000000000
1   13   0.0173871091
1   14   -0.0000000000
1   15   -0.0000000001
2   1   -0.5125775063
2   2   0.0000000001
2   3   -0.2826570500
2   5   0.0000000000
2   6   -0.5847931307
2   7   0.0000000001
2   8   -0.1946842597
2   9   0.0000000000
2   10   0.5843935713
2   11   -0.0000000000
2   12   -0.0000000002
2   13   -0.0447798780
2   14   -0.0000000001
2   15   0.0000000004
3   1   -0.0000000000
3   2   0.5540253838
3   3   -0.0000000001
3   5   -0.2334024115
3   6   -0.0000000001
3   7   -1.0786038263
3   8   -0.0000000001
3   10   -0.0000000004
3   12   -0.0230769838
3   13   0.0000000001
3   14   -0.1608711945
3   15   -0.4433621059
4   1   -0.2948908751
4   2   -0.0000000002
4   3   0.6026284780
4   4   0.0000000000
4   5   -0.0000000000
4   6   -0.7770311658
4   7   -0.0000000002
4   8   -0.1254281401
4   9   -0.0000000000
4   10   -0.2589883549
4   11   0.0000000000
4   12   0.0000000005
4   13   -0.0411783590
4   14   0.0000000003
4   15   -0.0000000003
5   3   -0.0000000000
5   4   1.0092956321
5   5   -0.0000000000
5   9   -0.0000000000
5   11   -0.2195889129
5   12   -0.0000000000
5   13   -0.0000000000
5   15   0.0000000000

End IA Block
Begin AB Block
1   1   -2.2879465569
1   2   0.0000000018
1   3   -0.1672584699
1   5   0.0000000009
1   6   -0.7470546516
1   7   0.0000000018
1   8   -0.2368881037
1   9   0.0000000000
1   10   0.4733185160
1   11   -0.0000000000
1   12   -0.0000000077
1   13   0.0230149815
1   14   -0.0000000039
1   15   0.0000000070
2   2   -1.9015057627
2   3   0.0000000078
2   5   0.1881669779
2   6   0.0000000027
2   7   0.7901592802
2   8   -0.0000000013
2   10   0.0000000277
2   12   -0.0128398505
2   13   -0.0000000195
2   14   0.0657152601
2   15   0.1931109096
3   3   -2.3259401689
3   5   0.0000000052
3   6   0.0623445921
3   7   0.0000000065
3   8   0.1345498525
3   9   0.0000000000
3   10   0.2869115890
3   12   -0.0000000199
3   13   -0.1851312035
3   14   -0.0000000171
3   15   0.0000000129
4   4   -2.5896768285
4   9   0.0000000002
4   10   0.0000000000
4   11   0.2303082586
4   13   0.0000000000
4   15   -0.0000000000
5   5   -2.3818168178
5   6   0.0000000022
5   7   -0.3536978775
5   8   0.0000000017
5   10   0.0000000195
5   12   -0.4208210155
5   13   -0.0000000154
5   14   -0.2335689614
5   15   -0.7321600984
6   6   -2.8606513358
6   7   0.0000000017
6   8   -0.0899992722
6   10   0.1007038126
6   11   0.0000000000
6   12   -0.0000000078
6   13   -0.3392109450
6   14   -0.0000000073
6   15   0.0000000053
7   7   -2.8481127571
7   8   -0.0000000023
7   10   0.0000000236
7   12   -0.1781270590
7   13   -0.0000000155
7   14   -0.2758651645
7   15   -0.8423163150
8   8   -2.5178445158
8   10   0.0264127149
8   12   0.0000000015
8   13   0.0891399850
8   14   -0.0000000034
8   15   -0.0000000019
9   9   -2.5020090762
9   11   -0.0000000004
9   13   -0.0000000000
10   10   -2.5343096342
10   11   0.0000000000
10   12   -0.0000000747
10   13   -0.2149805167
10   14   -0.0000000587
10   15   0.0000000468
11   11   -2.4764484475
11   12   -0.0000000000
11   13   -0.0000000000
11   14   -0.0000000000
11   15   0.0000000000
12   12   -2.0905410873
12   13   0.0000000481
12   14   -0.0196367800
12   15   -0.4967443286
13   13   -2.2009050144
13   14   0.0000000396
13   15   -0.0000000227
14   14   -2.0273049640
14   15   -0.3831591511
15   15   -2.7341485767

End AB Block
Begin IJAB Block
1   6   1   16   0.0031366575
1   6   1   17   0.0000000000
1   6   1   18   0.0014048469
1   6   1   20   -0.0000000000
1   6   1   21   0.0046007027
1   6   1   22   0.0000000000
1   6   1   23   0.0013934656
1   6   1   25   -0.0036880945
1   6   1   27   0.0000000000
1   6   1   28   0.0007126785
1   6   1   29   0.0000000001
1   6   1   30   -0.0000000001
1   6   2   16   0.0000000000
1   6   2   17   0.0013067179
1   6   2   18   0.0000000000
1   6   2   20   -0.0008903995
1   6   2   21   0.0000000000
1   6   2   22   -0.0032520701
1   6   2   23   0.0000000000
1   6   2   25   -0.0000000000
1   6   2   27   -0.0003962683
1   6   2   28   0.0000000001
1   6   2   29   -0.0007760373
1   6   2   30   -0.0023232806
1   6   3   16   0.0014048469
1   6   3   17   0.0000000000
1   6   3   18   0.0031948407
1   6   3   20   0.0000000000
1   6   3   21   0.0003623061
1   6   3   22   0.0000000000
1   6   3   23   0.0003844769
1   6   3   25   -0.0039072149
1   6   3   27   -0.0000000000
1   6   3   28   0.0001205430
1   6   3   29   0.0000000000
1   6   3   30   -0.0000000001
1   6   4   19   0.0044230615
1   6   4   24   -0.0000000000
1   6   4   26   -0.0013608442
1   6   5   16   -0.0000000000
1   6   5   17   -0.0008903995
1   6   5   18   0.0000000000
1   6   5   20   0.0006105767
1   6   5   21   0.0000000001
1   6   5   22   0.0022157248
1   6   5   23   0.0000000000
1   6   5   25   -0.0000000000
1   6   5   27   0.0002695828
1   6   5   28   0.0000000002
1   6   5   29   0.0005271272
1   6   5   30   0.0015758267
1   6   6   16   0.0046007027
1   6   6   17   0.0000000000
1   6   6   18   0.0003623061
1   6   6   20   0.0000000001
1   6   6   21   0.0078869346
1   6   6   22   0.0000000000
1   6   6   23   0.0022051574
1   6   6   25   -0.0039223968
1   6   6   27   -0.0000000001
1   6   6   28   0.0011773644
1   6   6   29   -0.0000000001
1   6   6   30   0.0000000000
1   6   7   16   0.0000000000
1   6   7   17   -0.0032520701
1   6   7   18   0.0000000000
1   6   7   20   0.0022157248
1   6   7   21   0.0000000000
1   6   7   22   0.0081002672
1   6   7   23   0.0000000000
1   6   7   25   0.0000000001
1   6   7   27   0.0009864579
1   6   7   28   0.0000000001
1   6   7   29   0.0019331580
1   6   7   30   0.0057886652
1   6   8   16   0.0013934656
1   6   8   17   0.0000000000
1   6   8   18   0.0003844769
1   6   8   20   0.0000000000
1   6   8   21   0.0022051574
1   6   8   22   0.0000000000
1   6   8   23   0.0006447470
1   6   8   25   -0.0014298081
1   6   8   27   -0.0000000000
1   6   8   28   0.0003358666
1   6   8   29   -0.0000000000
1   6   8   30   -0.0000000000
1   6   9   19   -0.0000000000
1   6   9   24   0.0000044881
1   6   9   26   0.0000000000
1   6   10   16   -0.0036880945
1   6   10   17   -0.0000000000
1   6   10   18   -0.0039072149
1   6   10   20   -0.0000000000
1   6   10   21   -0.0039223968
1   6   10   22   0.0000000001
1   6   10   23   -0.0014298081
1   6   10   25   0.0063267669
1   6   10   27   0.0000000000
1   6   10   28   -0.0006674489
1   6   10   29   0.0000000003
1   6   10   30   -0.0000000003
1   6   11   19   -0.0013608442
1   6   11   24   0.0000000000
1   6   11   26   0.0004204300
1   6   12   16   0.0000000000
1   6   12   17   -0.0003962683
1   6   12   18   -0.0000000000
1   6   12   20   0.0002695828
1   6   12   21   -0.0000000001
1   6   12   22   0.0009864579
1   6   12   23   -0.0000000000
1   6   12   25   0.0000000000
1   6   12   27   0.0001234619
1   6   12   28   0.0000000001
1   6   12   29   0.0002336278
1   6   12   30   0.0007014428
1   6   13   16   0.0007126785
1   6   13   17   0.0000000001
1   6   13   18   0.0001205430
1   6   13   20   0.0000000002
1   6   13   21   0.0011773644
1   6   13   22   0.0000000001
1   6   13   23   0.0003358666
1   6   13   25   -0.0006674489
1   6   13   27   0.0000000001
1   6   13   28   0.0001783376
1   6   13   29   -0.0000000002
1   6   13   30   -0.0000000004
1   6   14   16   0.0000000001
1   6   14   17   -0.0007760373
1   6   14   18   0.0000000000
1   6   14   20   0.0005271272
1   6   14   21   -0.0000000001
1   6   14   22   0.0019331580
1   6   14   23   -0.0000000000
1   6   14   25   0.0000000003
1   6   14   27   0.0002336278
1   6   14   28   -0.0000000002
1   6   14   29   0.0004664835
1   6   14   30   0.0013805392
1   6   15   16   -0.0000000001
